#;Team;Championship;Nationality
61.;Atlético Tucumán ;Argentina Primera División;Argentina
68.;Banfield ;Argentina Primera División;Argentina
72.;Barracas Central ;Argentina Primera División;Argentina
129.;Central Córdoba ;Argentina Primera División;Argentina
175.;Dep. Riestra ;Argentina Primera División;Argentina
273.;Gimnasia ;Argentina Primera División;Argentina
277.;Godoy Cruz ;Argentina Primera División;Argentina
309.;Huracán ;Argentina Primera División;Argentina
318.;Ind. Rivadavia ;Argentina Primera División;Argentina
320.;Independiente ;Argentina Primera División;Argentina
321.;Instituto ;Argentina Primera División;Argentina
413.;Newell’s ;Argentina Primera División;Argentina
445.;Platense ;Argentina Primera División;Argentina
515.;Sarmiento ;Argentina Primera División;Argentina
596.;Tigre ;Argentina Primera División;Argentina
613.;Unión ;Argentina Primera División;Argentina
626.;Vélez Sarsfield ;Argentina Primera División;Argentina
11.;Adelaide United ;Australian A-League;Australia
62.;Auckland FC ;Australian A-League;Australia
99.;Brisbane Roar ;Australian A-League;Australia
128.;Central Coast ;Australian A-League;Australia
374.;Macarthur FC ;Australian A-League;Australia
382.;Melb. Victory ;Australian A-League;Australia
383.;Melbourne City ;Australian A-League;Australia
411.;Newcastle Jets ;Australian A-League;Australia
440.;Perth Glory ;Australian A-League;Australia
590.;Sydney FC ;Australian A-League;Australia
644.;Well. Phoenix ;Australian A-League;Australia
647.;Western United ;Australian A-League;Australia
656.;WS Wanderers ;Australian A-League;Australia
64.;Austria Klagenfurt ;Austrian Football Bundesliga;Austria
85.;Blau-Weiss Linz ;Austrian Football Bundesliga;Austria
252.;FK Austria Wien ;Austrian Football Bundesliga;Austria
281.;Grazer AK ;Austrian Football Bundesliga;Austria
350.;LASK ;Austrian Football Bundesliga;Austria
477.;RB Salzburg ;Austrian Football Bundesliga;Austria
525.;SCR Altach ;Austrian Football Bundesliga;Austria
544.;SK Rapid ;Austrian Football Bundesliga;Austria
545.;SK Sturm Graz ;Austrian Football Bundesliga;Austria
605.;TSV Hartberg ;Austrian Football Bundesliga;Austria
653.;Wolfsberger AC ;Austrian Football Bundesliga;Austria
657.;WSG Tirol ;Austrian Football Bundesliga;Austria
458.;Qarabağ FK ;Azerbaijan Premier League;Azerbaijan
130.;Cercle Brugge ;Belgian Pro League;Belgio
146.;Club Brugge ;Belgian Pro League;Belgio
247.;FCV Dender EH ;Belgian Pro League;Belgio
331.;K. Beerschot VA ;Belgian Pro League;Belgio
332.;KAA Gent ;Belgian Pro League;Belgio
343.;KRC Genk ;Belgian Pro League;Belgio
345.;KV Kortrijk ;Belgian Pro League;Belgio
346.;KV Mechelen ;Belgian Pro League;Belgio
347.;KVC Westerlo ;Belgian Pro League;Belgio
423.;OH Leuven ;Belgian Pro League;Belgio
465.;R. Union St.-G. ;Belgian Pro League;Belgio
503.;Royal Antwerp FC ;Belgian Pro League;Belgio
504.;RSC Anderlecht ;Belgian Pro League;Belgio
554.;Sp. Charleroi ;Belgian Pro League;Belgio
573.;Standard Liège ;Belgian Pro League;Belgio
579.;STVV ;Belgian Pro League;Belgio
76.;Beijing FC ;Chinese Super League;Cina
113.;Cangzhou FC ;Chinese Super League;Cina
136.;Changchun Yatai ;Chinese Super League;Cina
299.;Henan FC ;Chinese Super League;Cina
381.;Meizhou Hakka FC ;Chinese Super League;Cina
407.;Nantong Zhiyun FC ;Chinese Super League;Cina
459.;Qingdao Hainiu ;Chinese Super League;Cina
460.;Qingdao W. Coast ;Chinese Super League;Cina
497.;Rongcheng FC ;Chinese Super League;Cina
533.;Shandong Taishan ;Chinese Super League;Cina
534.;Shanghai Port FC ;Chinese Super League;Cina
535.;Shanghai Shenhua ;Chinese Super League;Cina
591.;SZ Peng City ;Chinese Super League;Cina
595.;Tianjin JMT FC ;Chinese Super League;Cina
